review_text,rating,restaurant,area,date,likes,label,predicted_label,predicted_sentiment,prob_負面,prob_中性,prob_正面,parsed_date,week,year,week_start,year_week
到店時你們的服務生說裡面full house了，剩下外面的位置然後我就說ok，但是有跟你們店員說如果裡面有位的話我要換去裡面，因為外面實在太熱了，你的服務員也說可以然後幫我寫裡面的拿號，我完了都沒有幫我換到裡面，我身邊幾桌都被換去裡面，就連新來的顧客都換去裡面了，我進去結帳時發現裡面有幾張空桌子我直接？ ？ 還有我坐在外面好像是髮配到邊疆這樣，那個桌上的鈴按2-3次才有人過來，體驗感真的很差，沒有下次了🙂,2,Unknown Restaurant,,1 週前,0,0,2,正面,0.46840781585435054,0.19656131537579746,0.33503086876985194,2026-03-08 13:20:46.451662,10,2026,03/02,2026-W10
這家咖啡館服務最差、效率最低，透過GrabFood訂餐竟然等了兩個小時都沒做好。問店員，他們都不知道。最好的結果也只是讓外送員白等幾個小時而已。,1,Unknown Restaurant,,上次編輯：2 週前,0,0,2,正面,0.20058640062134261,0.07955906262820708,0.7198545367504502,2026-03-01 13:20:46.451662,9,2026,02/23,2026-W09
這裡乾淨整潔，環境優美，氛圍極佳！食物雖然價格偏高，但味道真的非常棒。菜單設計精美，選擇豐富，素食選擇也很多。我很喜歡這種理念！,5,Unknown Restaurant,,3 週前,0,2,2,正面,0.024357207655428217,0.05280973828216337,0.9228330540624082,2026-02-22 13:20:46.451662,8,2026,02/16,2026-W08
服務好，食物美味。還會再點。,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.03401801885362247,0.08745245679240234,0.8785295243539754,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
環境舒服！食物很有特色，都那種結合了馬來西亞傳統特色，西式以及中式的料理！飲料也好喝！特別推薦榴槤布蕾，濃鬱的榴槤和奶香結合得好好吃！,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.015612242947583137,0.11416096063442739,0.8702267964179896,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
味道好極了，服務也非常好，員工都很友善。我一定會帶朋友和家人再來光顧的❤️❤️❤️❤️,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.045827805486379304,0.032803918702296465,0.9213682758113241,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
喬治城最好的咖啡館之一！我和同事在這裡吃了午餐，芝麻油雞肉意麵真是太棒了！我的同事點了椰漿飯，味道也超讚。這裡的咖啡也很棒，我一定會再來的。,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.019614875787211068,0.060234602577235584,0.9201505216355536,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
我們等了50分鐘才吃到飯，因為上菜速度比較慢。尤其是煮雞蛋，等了很久才上，最後才送到。,1,Unknown Restaurant,,1 個月前,0,0,2,正面,0.18243213000052552,0.1838704661797672,0.6336974038197073,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
"食物還可以。別點「本地風味」套餐。

上菜花了40分鐘。雖然周圍人不多，但服務很慢。",3,Unknown Restaurant,,1 個月前,0,1,2,正面,0.1401401495594365,0.09040189704578522,0.7694579533947784,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
我們之前來過這家店，感覺不錯。但今天上菜等了50分鐘，服務極為緩慢，令人失望。,1,Unknown Restaurant,,1 個月前,0,0,2,正面,0.4042287008035307,0.3203345983456553,0.2754367008508137,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
"我們以前每次來檳城都會來這家店，但這次太失望了：我們等了40多分鐘才拿到餐。

40分鐘後，他們說我們點的有些東西沒有了。

現在又過了45分鐘，我的炒蛋還沒上，咖啡都涼了。",2,Unknown Restaurant,,1 個月前,0,0,2,正面,0.3053529769411817,0.12158434943178396,0.5730626736270346,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
您好，我剛剛在這裡點了一份雞排套餐，感覺和以前不太一樣。以前是雞排配薯角和雞肉，現在只有雞肉了。我建議改回以前的設定。這只是我個人的意見。謝謝。,1,Unknown Restaurant,,1 個月前,0,0,2,正面,0.16413309096956946,0.11926286359787144,0.716604045432559,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
超好吃，用餐環境也很棒！咖啡種類很多！,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.02573999368172071,0.07148756744953576,0.9027724388687435,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
哇！這是一家世界級的咖啡館，菜單令人驚艷。菜色口味濃鬱，融合了本地特色，完美展現了馬來西亞美食的精髓，廚房技藝更是爐火純青。我們一行四人在這裡享用了早餐，都被菜單的品質和種類深深折服。服務、裝潢、咖啡——一切都無可挑剔。別猶豫了，一定要來這裡！我們之前去過很多其他看起來不錯或評價很高的咖啡館，體驗卻參差不齊。這家咖啡館絕對名不虛傳，物超所值。這裡的團隊做得太棒了！可惜我們當時都迫不及待地開動了，沒來得及多拍些照片。,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.035603121674095684,0.09989607555755108,0.8645008027683533,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
所有食物都很美味。服務生熱情周到，整體氛圍也很棒。此外，還有適合兒童的餐點選擇。,5,Unknown Restaurant,,1 個月前,0,2,2,正面,0.009464692086077326,0.04699660969363441,0.9435386982202882,2026-02-13 13:20:46.451662,7,2026,02/09,2026-W07
"芒果柚子酸奶油鮭魚田園沙拉真是太好吃了。獨特的香蕉煎餅也值得一試。厚厚的煎餅配上炸香蕉。
椰糖提拉米蘇咖啡👍👍。 …",4,Unknown Restaurant,,上次編輯：2 個月前,0,2,2,正面,0.007673292087370052,0.030091489471361678,0.9622352184412684,2026-01-14 13:20:46.451662,3,2026,01/12,2026-W03
"這家咖啡館經營得非常用心，連洗手間都維護得很好！

食物方面，如果早餐菜單裡能加入椰漿飯就更好了。遊客一定會喜歡這道招牌菜。 …",5,Unknown Restaurant,,2 個月前,0,2,2,正面,0.012268344131699605,0.026659826328324105,0.9610718295399765,2026-01-14 13:20:46.451662,3,2026,01/12,2026-W03
我透過Grab Food從這家不知名的餐廳訂過好幾次餐了，但這次還是第一次吃到冷的、沒煮熟的香腸！ ！ ！不用說，咬下去的時候簡直噁心透了。這頓飯徹底毀了我的胃口。 …,1,Unknown Restaurant,,2 個月前,0,0,2,正面,0.03197921874134081,0.07118644703644668,0.8968343342222127,2026-01-14 13:20:46.451662,3,2026,01/12,2026-W03
很棒的咖啡館，早餐不錯。,5,Unknown Restaurant,,2 個月前,0,2,2,正面,0.0407640943364149,0.11486181493746499,0.8443740907261204,2026-01-14 13:20:46.451662,3,2026,01/12,2026-W03
可愛的咖啡館。,4,Unknown Restaurant,,3 個月前,0,2,2,正面,0.021354169217850782,0.04004243863670066,0.9386033921454487,2025-12-15 13:20:46.451662,51,2025,12/15,2025-W51
檳城這家名為「Unknown Café & Bistro」的咖啡館讓我印象深刻！從踏入店門的那一刻起，我就感受到了溫馨舒適的氛圍，時尚又不失格調，是享用休閒早午餐的理想之選。 …,5,Unknown Restaurant,,3 個月前,0,2,2,正面,0.006666526812444384,0.039956627918132585,0.953376845269423,2025-12-15 13:20:46.451662,51,2025,12/15,2025-W51
身為專業咖啡師，我可以自信地向大家保證，這裡的咖啡和食物品質都非常出色。,5,Unknown Restaurant,,3 個月前,0,2,2,正面,0.023057289269012685,0.03923743043431266,0.9377052802966749,2025-12-15 13:20:46.451662,51,2025,12/15,2025-W51
我們上午11點42分下的單，但直到下午12點55分才全部上菜。雖然菜色並非全部同時上桌，但每道菜之間的間隔時間非常長。或許是廚房人手不足。 …,2,Unknown Restaurant,,3 個月前,0,0,2,正面,0.2121251071726924,0.04355051938909765,0.7443243734382099,2025-12-15 13:20:46.451662,51,2025,12/15,2025-W51
食物還可以。座位安排很不合理，對路人和就座者都很不方便，很不舒服。而且服務也很慢。,3,Unknown Restaurant,,3 個月前,0,1,2,正面,0.042468459367988,0.09422448247765948,0.8633070581543526,2025-12-15 13:20:46.451662,51,2025,12/15,2025-W51
