review_text,rating,restaurant,area,date,likes,label
之前路過覺得很好吃😋今天又過來吃，價格也合理 …,5,老鐵醬平價鐵板燒,,18 小時前,0,2
菜色好吃，店員熱情客氣,5,老鐵醬平價鐵板燒,,19 小時前,0,2
老闆親切 菜品便宜,5,老鐵醬平價鐵板燒,,20 小時前,0,2
好吃,5,老鐵醬平價鐵板燒,,20 小時前,0,2
超好吃,5,老鐵醬平價鐵板燒,,1 天前,0,2
"鐵板燒一直都是我非常喜歡的一種料理方式，而這次的用餐體驗更是讓我留下了非常深刻的印象。從一走進餐廳開始，就能感受到整體環境非常乾淨舒適，空間寬敞明亮，座位安排也很合理，讓人用餐時感到相當放鬆。鐵板燒最大的魅力之一，就是可以近距離看到師傅現場料理，每一個動作都非常俐落專業，看著食材在鐵板上滋滋作響，香氣慢慢飄出來，真的讓人食慾大開。

首先要說的是食材的新鮮度真的非常高。無論是肉類、海鮮還是蔬菜，都可以看得出來品質很好。牛排的肉質鮮嫩多汁，外層煎得微微焦香，裡面卻依然保持著完美的嫩度，每一口都充滿濃郁的肉香。海鮮部分也讓人非常驚艷，蝦子非常新鮮，肉質彈牙，師傅簡單用鹽和奶油調味，就能把海鮮本身的甜味完全帶出來，吃起來既鮮美又不會過於油膩。

蔬菜的部分同樣讓人印象深刻。很多人可能會覺得鐵板燒的蔬菜只是配角，但這家店的蔬菜處理得非常用心。高麗菜清甜爽口，豆芽菜清脆不油膩，搭配師傅適當的火候與調味，每一道蔬菜都保留了原本的自然甜味。簡單的料理方式，反而更能吃出食材本身的美味。

另外不得不稱讚的是師傅的料理技巧。整個料理過程非常流暢，火候掌握得剛剛好，不會過熟也不會太生。師傅在料理的同時也會和客人稍微互動，氣氛非常輕鬆愉快。看著鐵板上的食材從生到熟的變化，其實也是一種很有趣的用餐體驗。

服務方面也值得給很高的評價。服務人員態度親切，動作也非常迅速，有需要的時候很快就能得到幫助。上菜的節奏安排得很好，不會讓人等太久，也不會一下子全部上完讓桌子變得很擁擠。整體用餐流程非常順暢，讓人感到相當舒適。

餐廳的衛生環境也維持得很好，桌面、鐵板以及餐具都非常乾淨，可以看得出店家對細節的重視。用餐時不會感覺油煙很重，通風做得相當不錯，吃完之後身上也不會留下太濃的味道，這點真的非常加分。

整體來說，這是一間讓人非常滿意的鐵板燒餐廳。從食材品質、料理技巧、服務態度到用餐環境，每一個環節都做得非常到位。無論是和朋友聚餐、家庭聚會，或是想要好好享受一頓美味的料理，這裡都是一個很好的選擇。如果你喜歡鐵板燒，真的非常推薦來試試看，相信你也會像我一樣，對這裡留下非常好的印象。未來有機會我一定還會再來光顧，也會推薦給身邊的朋友一起來品嚐這麼美味又用心的料理體驗。",5,老鐵醬平價鐵板燒,,1 天前,0,2
鹹豬肉特別香,5,老鐵醬平價鐵板燒,,1 天前,0,2
"很好吃
這次去吃鐵板燒的體驗其實蠻有趣的。一開始坐在鐵板前面，看著師傅在我們面前直接料理食材，整個過程很有臨場感。師傅動作很俐落，從煎肉、炒菜到翻動食材都很熟練，有時候還會做一些小技巧，讓整個用餐過程變得很有表演感。

食材的部分也很新鮮，像是牛肉煎到剛剛好的熟度，外面微微焦香，裡面還是很嫩，吃起來很多汁。青菜和豆芽菜用鐵板快速拌炒，香味很明顯，而且口感也很清脆。整體味道不會太重，反而可以吃出食材本身的味道。

我覺得鐵板燒跟一般餐廳不太一樣的地方，就是可以邊看料理邊吃飯，感覺比較有參與感，也比較熱鬧。整體來說這次的鐵板燒體驗讓我印象很好，不只東西好吃，看師傅料理的過程也很享受，是一次蠻特別的用餐經驗。",5,老鐵醬平價鐵板燒,,1 天前,0,2
老鐵666 好吃,5,老鐵醬平價鐵板燒,,1 天前,0,2
好吃 東西多,5,老鐵醬平價鐵板燒,,1 天前,0,2
超級好吃推推推💖 …,5,老鐵醬平價鐵板燒,,上次編輯：1 天前,0,2
超級好吃,5,老鐵醬平價鐵板燒,,1 天前,0,2
好吃～,5,老鐵醬平價鐵板燒,,1 天前,0,2
讚讚,5,老鐵醬平價鐵板燒,,1 天前,0,2
好吃😋 …,5,老鐵醬平價鐵板燒,,1 天前,0,2
物美價廉 東西好吃😋推薦給大家,5,老鐵醬平價鐵板燒,,1 天前,0,2
CP值很高,5,老鐵醬平價鐵板燒,,1 天前,0,2
氣氛輕鬆、很舒服，店員很熱情！ 推薦！ 場地也很寬敞、老人家友善！,5,老鐵醬平價鐵板燒,,1 天前,0,2
料多味美👍👍👍,5,老鐵醬平價鐵板燒,,上次編輯：1 天前,0,2
餐點好吃,5,老鐵醬平價鐵板燒,,1 天前,0,2
不錯吃,5,老鐵醬平價鐵板燒,,1 天前,0,2
菜可以續超爽ㄉ,5,老鐵醬平價鐵板燒,,2 天前,0,2
餐點很好吃 菜不限量 服務讚讚讚,5,老鐵醬平價鐵板燒,,2 天前,0,2
肉很好吃，可以一直續飯菜，鐵板豆腐要點，非常讚,5,老鐵醬平價鐵板燒,,4 天前,0,2
好吃好吃好吃,5,老鐵醬平價鐵板燒,,上次編輯：4 天前,0,2
超好吃 員工大家人都很親切！,5,老鐵醬平價鐵板燒,,5 天前,0,2
"青菜可以續這點很棒。內用白飯飲料自助無限取用。
口味算鹹淡適中，應該是大眾都可以接受的味道。生意非常非常好，用餐熱門時段應該都需要等待，因為人太多所以很吵雜。",4,老鐵醬平價鐵板燒,,6 天前,0,2
這間鐵板燒 CP 值極高！內用不僅白飯、熱湯、多樣飲料與冰沙無限供應，最棒的是現炒青菜還能免費續加。師傅火侯掌握得宜，食材新鮮且調味適中不油膩，是想大飽口福時的平價首選,5,老鐵醬平價鐵板燒,,6 天前,0,2
老闆娘很親切 東西好吃,5,老鐵醬平價鐵板燒,,1 週前,0,2
服務態度很不錯 親切 東西好吃,5,老鐵醬平價鐵板燒,,1 週前,0,2
菜非常好吃，服務態度很好,5,老鐵醬平價鐵板燒,,1 週前,0,2
"環境不錯
食物好吃",5,老鐵醬平價鐵板燒,,2 週前,0,2
東西好吃，服務人員親切，吃飯的好選擇。,5,老鐵醬平價鐵板燒,,2 週前,0,2
隔二條街遠離擁擠的大明路，不管機車或汽車就非常好停車了。店內氣氛熱鬧用餐氛圍歡樂，與大埔相比口味跟價錢差不多，但高麗菜、豆芽菜、飲料、白飯、湯全部吃到飽就完勝大埔了，點蜜汁雞腿排煎到恰恰的很酥脆，可惜蜜汁稍沒入味口味偏淡，如要加菜可直接跟炒菜師父說就好，態度都很熱情不會臭臉，服務跟CP值給5顆星，已N次回訪。,5,老鐵醬平價鐵板燒,,2 週前,0,2
好吃實惠,5,老鐵醬平價鐵板燒,,2 週前,0,2
吃過N次 品質一樣好。人員熱情❤️,5,老鐵醬平價鐵板燒,,2 週前,0,2
師傅很有禮貌，還有自助吧cp值很高,5,老鐵醬平價鐵板燒,,2 週前,0,2
師傅很有禮貌,5,老鐵醬平價鐵板燒,,2 週前,0,2
可以加菜就是讚,5,老鐵醬平價鐵板燒,,2 週前,0,2
"出餐速度快狠準
吃那麼多間鐵板燒
唯一一間好吃的沒話說
還會想來光顧

超推！
本以為找不到湯
結果在白飯旁邊
打開是我愛喝的蛋花湯❤️

店家每一位態度超級好
連吃飽離開 發自內心笑謝謝光顧～
好有禮貌 ！！讓我心情愉悅了😂",5,老鐵醬平價鐵板燒,,2 週前,0,2
餐點好吃服務用心,5,老鐵醬平價鐵板燒,,2 週前,0,2
店員態度良好 好吃～,5,老鐵醬平價鐵板燒,,2 週前,0,2
聞起來好香,5,老鐵醬平價鐵板燒,,2 週前,0,2
食物美味，服務好,5,老鐵醬平價鐵板燒,,2 週前,0,2
讚！好吃,5,老鐵醬平價鐵板燒,,2 週前,0,2
CP值高，適合朋友來此聚餐！！,5,老鐵醬平價鐵板燒,,2 週前,0,2
給到夯,5,老鐵醬平價鐵板燒,,2 週前,0,2
適合系桌聚餐 讚,5,老鐵醬平價鐵板燒,,2 週前,0,2
鍋氣很足的鐵板燒！,5,老鐵醬平價鐵板燒,,2 週前,0,2
平價好吃😋,5,老鐵醬平價鐵板燒,,2 週前,0,2
鐵板燒師傅很親切🫡 …,5,老鐵醬平價鐵板燒,,2 週前,0,2
"師傅專業 空間環境很棒
值得推薦",5,老鐵醬平價鐵板燒,,2 週前,0,2
好吃好玩,5,老鐵醬平價鐵板燒,,2 週前,0,2
味道極棒,5,老鐵醬平價鐵板燒,,2 週前,0,2
老闆跟師傅們都很友善，食物美味，推！,5,老鐵醬平價鐵板燒,,3 週前,0,2
好好吃，快來吃,5,老鐵醬平價鐵板燒,,3 週前,0,2
評價好吃,5,老鐵醬平價鐵板燒,,3 週前,0,2
聽說可以加菜吃到飽 太酷了,5,老鐵醬平價鐵板燒,,3 週前,0,2
好吃cp值高，推推推,5,老鐵醬平價鐵板燒,,3 週前,0,2
好吃，離家近，價格平價🥴,5,老鐵醬平價鐵板燒,,3 週前,0,2
好吃 服務好,5,老鐵醬平價鐵板燒,,3 週前,0,2
"超讚👍
師父都很有禮貌😊
都會問有沒有吃飽",5,老鐵醬平價鐵板燒,,3 週前,0,2
十分好吃,5,老鐵醬平價鐵板燒,,3 週前,0,2
好的！,5,老鐵醬平價鐵板燒,,3 週前,0,2
環境乾淨整潔，菜色讚👍好吃😋,5,老鐵醬平價鐵板燒,,3 週前,0,2
好吃服務又好！讚,5,老鐵醬平價鐵板燒,,3 週前,0,2
口味好吃,5,老鐵醬平價鐵板燒,,3 週前,0,2
口味不錯價格划算,5,老鐵醬平價鐵板燒,,3 週前,0,2
全家來吃美食！非常好吃😋 …,5,老鐵醬平價鐵板燒,,3 週前,0,2
讚👍好吃😋,5,老鐵醬平價鐵板燒,,3 週前,0,2
"週日晚餐到店用餐，一進店家高朋滿座，但炒台內的工作人員在忙中也沒怠慢接待，快速的安排我們入座。
菜單選項豐富、價錢也合理，自助吧白飯、湯品自取，還有多種飲料可選用，用餐整體空間也不錯！
重點是餐點好吃，送上來的青菜，視覺感受就是一流炒功、鮮蚵大而飽滿，金沙蝦仁、鮭魚口感好！
整體用餐滿意，惟個人口味希望清淡一點，下次若再度用餐，會在點餐時備註。",5,老鐵醬平價鐵板燒,,3 週前,0,2
"好吃常常來吃
推薦",5,老鐵醬平價鐵板燒,,上次編輯：3 週前,0,2
不會讓你失望的平價鉄板燒，種類多,5,老鐵醬平價鐵板燒,,1 個月前,0,2
食材新鮮，什麼都很好吃，CP值超高，每次回台中必訪～,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點很好吃！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
吃很飽,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點美味 尤其是牛小排 非常香 服務也很好,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"比連鎖的鐵板燒好吃太多太多了😋
服務很好餐又好吃一定會再來吃100次😍",5,老鐵醬平價鐵板燒,,1 個月前,0,2
"點餐時櫃檯沒人
煎台師傅請我先坐
去裝飲料時店員冒出來 問我結帳了嗎？ …",4,老鐵醬平價鐵板燒,,1 個月前,0,2
推薦 好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
👍 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"和家人用餐，覺得好吃，下次
會再來",5,老鐵醬平價鐵板燒,,1 個月前,0,2
平價又好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
跟家人用餐中,5,老鐵醬平價鐵板燒,,1 個月前,0,2
小孩很愛吃！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
菜配飯我可以吃十碗,5,老鐵醬平價鐵板燒,,1 個月前,0,2
超牛逼的鐵板燒必須爆吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
東西好吃 氣氛很好 還會再來,5,老鐵醬平價鐵板燒,,1 個月前,0,2
食物好吃，店員很親切,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃，服務態度良好，可以帶狗狗,5,老鐵醬平價鐵板燒,,1 個月前,0,2
這家推推～餐點好吃～氣氛佳～菜可續～,5,老鐵醬平價鐵板燒,,1 個月前,0,2
CO值高 送餐速度快 👍,5,老鐵醬平價鐵板燒,,1 個月前,0,2
料理好吃 服務又好 很好吃的鐵板燒 推薦,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點蠻好吃、上菜速度也快，打卡送小菜或糖葫蘆💙,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點好吃服務親切,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"這間青菜不能續，但google評論會送小菜，
店員忘記送來，告知後有送來。
可能剛好座位在出風口 …",4,老鐵醬平價鐵板燒,,1 個月前,0,2
很好吃已經多次回訪,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃美味,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃又平價,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃喔！ 👍🏻👍🏻👍🏻,5,老鐵醬平價鐵板燒,,1 個月前,0,2
東西好吃😋 值得再訪！很推薦👍,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃！味道很好！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
很好吃算是我吃過前幾名的鐵板燒,5,老鐵醬平價鐵板燒,,1 個月前,0,2
服務很好 餐點很好吃！,5,老鐵醬平價鐵板燒,,上次編輯：1 個月前,0,2
好吃的鐵板燒 大家要來吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
很好吃 很常來,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃～～,5,老鐵醬平價鐵板燒,,1 個月前,0,2
便宜好吃，內用送小菜！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
家人愛吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點好吃 菜可以續 飯吃到飽,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點都很不錯,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好好吃🤤,5,老鐵醬平價鐵板燒,,1 個月前,0,2
服務親切 食物平價新鮮好吃 環境乾淨明亮,5,老鐵醬平價鐵板燒,,1 個月前,0,2
平價好吃😋服務很讚👍 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
香煎雞腿排很好吃！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃 白飯不用錢,5,老鐵醬平價鐵板燒,,1 個月前,0,2
超好吃👍🏻 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃動作也很快,5,老鐵醬平價鐵板燒,,1 個月前,0,2
美味😋 值得再來 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
菜很好吃，還可以加菜，超讚的,5,老鐵醬平價鐵板燒,,上次編輯：1 個月前,0,2
"價格親民
餐點好吃",5,老鐵醬平價鐵板燒,,1 個月前,0,2
超級棒的,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好好吃～～～,5,老鐵醬平價鐵板燒,,1 個月前,0,2
態度值得我六星好評 這是多出來的那一顆,1,老鐵醬平價鐵板燒,,1 個月前,0,0
"雞腿排超好吃的！
是沒吃過的口感～
上菜速度也很快～大推推",5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃菜可以一直續,5,老鐵醬平價鐵板燒,,上次編輯：1 個月前,0,2
服務態度很好，食物美味,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"115/02/01
店員態度差到極致。
剛開幕吃過兩次那時候的服務氣氛和現在截然不同，
這次是第三次用餐，也會是最後一次。
在這邊吃飯被服務的感覺，像是在被施捨食物。",1,老鐵醬平價鐵板燒,,1 個月前,0,0
"點了雙人套餐 菲力、牛肉和鮮蚵
平價好吃，會在回訪！",5,老鐵醬平價鐵板燒,,1 個月前,0,2
雙人套餐平價好吃！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"首次嚐鮮
空間大
飲料、飯、湯吃到飽👍 …",5,老鐵醬平價鐵板燒,,1 個月前,0,2
點了$350單人套餐（香煎雞腿排+奶油杏鮑菇）👍 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
💯 份量實在、價格合理，CP值超高，會想再回訪。,5,老鐵醬平價鐵板燒,,1 個月前,0,2
鐵板功力一流，火候拿捏得剛剛好，肉嫩多汁、完全不乾柴。,5,老鐵醬平價鐵板燒,,1 個月前,0,2
美味好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
😍😍,5,老鐵醬平價鐵板燒,,1 個月前,0,2
讚喔👍 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
👍🏻 …,4,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點好吃、環境明亮,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點好吃！讚,5,老鐵醬平價鐵板燒,,1 個月前,0,2
這間的餐點算是還可以也還可以續青菜 還有自助吧什麼的其實很不錯 但是最近一次1/31 1:30左右的時候突然有二手菸的味道並且持續到我吃完結束，不知道是不是有人在休息室抽菸並且當時還有小孩在旁邊，我覺得需要糾正一下（當時大門是關上很久了），只有休息室的小門還開著,3,老鐵醬平價鐵板燒,,1 個月前,0,1
好吃環境好,5,老鐵醬平價鐵板燒,,1 個月前,0,2
宵夜首選,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"好吃的鐵板燒，老闆娘還熱情～
重點是各個菜量非常滿足！！",5,老鐵醬平價鐵板燒,,1 個月前,0,2
第一次吃，好吃出餐快～,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"評論送小菜

整體菜色都比較下飯
醬燒雞丁：肉不柴很棒，還會有洋蔥跟蔥
高麗菜豆芽菜：可續，每次的鹹度都有點不同（可能有加蒜泥）
不吃洋蔥、蔥、蒜頭的人點餐前可以告知，應該可以不加

內用自助區：白飯、湯、飲料（果汁、咖啡）",5,老鐵醬平價鐵板燒,,1 個月前,0,2
全家都愛吃😊😊😊 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
很好吃！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
價格合適,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點好吃！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
高麗菜豆芽菜吃到飽太爽了,5,老鐵醬平價鐵板燒,,1 個月前,0,2
每道餐點都很美味 cp值巨高 服務人員也很親切,5,老鐵醬平價鐵板燒,,1 個月前,0,2
歐一夕,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"店員看我一份菜不夠吃，還多送我一份😭
鐵醬牛也好好吃😭 …",5,老鐵醬平價鐵板燒,,1 個月前,0,2
低消沒有說明，服務態度👎 …,1,老鐵醬平價鐵板燒,,1 個月前,0,0
好吃的推薦，打卡送手工小菜,5,老鐵醬平價鐵板燒,,1 個月前,0,2
真心推薦＾＾真的好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"好吃好停車
一次上癮👍",5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點美味，份量充足,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"師傅熱情 餐點cp值很高 店內空間也很寬敞
重點還可以加菜",5,老鐵醬平價鐵板燒,,上次編輯：1 個月前,0,2
餐點好吃CP高！非常值得推薦的鐵板燒！🤩🤩🤩,5,老鐵醬平價鐵板燒,,1 個月前,0,2
親切專業好吃！,5,老鐵醬平價鐵板燒,,上次編輯：1 個月前,0,2
好吃 平價，每次都超飽,5,老鐵醬平價鐵板燒,,1 個月前,0,2
東西好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好好吃 免費白飯吃飽飽 d(ŐдŐ๑),5,老鐵醬平價鐵板燒,,1 個月前,0,2
"今天晚上來老鐵鍋吃晚餐，依舊cp值超高！
會再回訪😋",5,老鐵醬平價鐵板燒,,1 個月前,0,2
青菜吃到飽肉比其他地方多,5,老鐵醬平價鐵板燒,,1 個月前,0,2
便宜又大碗⁽⁽٩(๑˃̶͈̀ ᗨ ˂̶͈́)۶⁾⁾,5,老鐵醬平價鐵板燒,,1 個月前,0,2
很好吃！常來,5,老鐵醬平價鐵板燒,,1 個月前,0,2
服務人員很親切，食物也很好吃，最主要的是開得晚！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
這個好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
服務很親切食物也很好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃有味,5,老鐵醬平價鐵板燒,,1 個月前,0,2
讚讚讚,5,老鐵醬平價鐵板燒,,1 個月前,0,2
下班後的好選擇 好吃👍,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"這裡好吃還有湯有飯
店員也很親切",5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃青菜很好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
讚的 好吃 營業時間晚～宵夜也適合,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃😋😋😋,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"用五星已經無法評論了！
他已經超越了所有連鎖店了！
驚訝的是，炒功真的一流！超級好吃！ …",5,老鐵醬平價鐵板燒,,1 個月前,0,2
"服務很好
環境也很乾淨
很好吃 👍",5,老鐵醬平價鐵板燒,,1 個月前,0,2
服務態度佳，速度也很快唷🥰 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
老闆娘超好,5,老鐵醬平價鐵板燒,,1 個月前,0,2
今天是第二次回訪，台中夜宵的第一選擇！CP值很高！非常推薦大家來。,5,老鐵醬平價鐵板燒,,1 個月前,0,2
飲料區真讚,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"有嚇到欸
190竟然有飲料自助吧
咖啡機(可惜去的時候沒巧克力 …",5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃，cp值超高！ ！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
很好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
小朋友指定鐵板燒的愛店,5,老鐵醬平價鐵板燒,,1 個月前,0,2
環境乾淨，自助吧有白飯、湯品、飲料都免費續，店員態度也很親切,5,老鐵醬平價鐵板燒,,1 個月前,0,2
服務態度很好,5,老鐵醬平價鐵板燒,,1 個月前,0,2
上菜快速菜色可口,5,老鐵醬平價鐵板燒,,1 個月前,0,2
服務人員親切.餐點好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃😋,5,老鐵醬平價鐵板燒,,1 個月前,0,2
好吃好吃😋 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
"一群年輕小朋友 活力無窮
口味好吃 味道不重複",5,老鐵醬平價鐵板燒,,1 個月前,0,2
口味不錯，可以續菜,5,老鐵醬平價鐵板燒,,1 個月前,0,2
整潔有待加強，桌黏黏的，料理區域有點髒,2,老鐵醬平價鐵板燒,,1 個月前,0,0
食物好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
很好吃。兒子常常吵著要吃！白飯、湯品可以吃到飽！還有飲料吧！！很棒！,5,老鐵醬平價鐵板燒,,1 個月前,0,2
離家很近的鐵板燒。好吃😋 …,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點好吃，出餐快速，服務親切,5,老鐵醬平價鐵板燒,,1 個月前,0,2
平價鐵板燒~~五星送小菜,5,老鐵醬平價鐵板燒,,上次編輯：1 個月前,0,2
便宜好吃，還有自助吧可以用,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點超級好吃,5,老鐵醬平價鐵板燒,,1 個月前,0,2
每次來都吃很飽，服務員也很客氣,5,老鐵醬平價鐵板燒,,1 個月前,0,2
餐點美味好吃，服務生很親切,5,老鐵醬平價鐵板燒,,1 個月前,0,2
每週都來吃,5,老鐵醬平價鐵板燒,,上次編輯：1 個月前,0,2
這間鐵板燒叫我家的狗吃他也不吃包手的那個員工你再給我裝一塊試試看,1,老鐵醬平價鐵板燒,,1 個月前,0,0
平價好吃 快速,5,老鐵醬平價鐵板燒,,1 個月前,0,2
1/19到1/20半夜兩點那位右手臂刺青的，我沒惹你吧，每一句對話都用兇的，情緒管理不好就別來上班了，搞得來吃飯的都欠你一樣，老闆要不要管一下，五星拉評價送小菜沒屁用啦,1,老鐵醬平價鐵板燒,,1 個月前,0,0
餐點快、要清淡的口味要先說…不然會太過鹹鹹,4,老鐵醬平價鐵板燒,,1 個月前,0,2
來這間店千萬不要跟那個包手店員點加菜 他會直接躲在後面滑手機給你看,1,老鐵醬平價鐵板燒,,1 個月前,0,0
沒來過，一進門就很不耐煩的問我要不要辣，我根本沒懂啥要不要辣，後面才大聲的喊菜要不要辣，不想炒直說，擺啥臉色啊,1,老鐵醬平價鐵板燒,,1 個月前,0,0
